ejection	banishment	rejection	barring
nonexistence	nonbeing	state	impossibility
device	instrumentality	artifact	instrument
journey	travel	motion	voyage
environment	situation	state	ecology
insertion	movement	change	injection
meal	nutriment	food	breakfast
originality	ability	cognition	innovativeness
acknowledgment	message	communication	apology
toiletry	instrumentality	artifact	lotion
paper	material	substance	card
rear	side	surface	stern
entrance	arrival	action	registration
seat	furniture	furnishing	chair
good	morality	quality	kindness
postulate	proposition	statement	premise
flower	angiosperm	spermatophyte	daisy
tube	conduit	passage	stent
encouragement	approval	message	cheering
unfriendliness	disposition	nature	hostility
system	group	abstraction	network
visionary	intellectual	person	forecaster
conflict	state	attribute	disagreement
beam	piece	part	timber
footwear	covering	artifact	boot
prediction	statement	message	prognosis
agent	representative	negotiator	booker
transportation	movement	change	delivery
building	structure	artifact	restaurant
creativity	ability	cognition	imagination
broadcasting	telecommunication	medium	television
schemer	planner	person	angler
courtesy	manner	demeanor	politeness
professional	adult	person	lawyer
dispatch	departure	act	reshipment
capital	assets	possession	stock
vessel	craft	vehicle	boat
success	attainment	accomplishment	winning
interchange	interaction	action	dealings
activity	act	event	market
people	group	abstraction	population
placental	mammal	vertebrate	carnivore
cattle	bovine	bovid	ox
shellfish	seafood	food	lobster
weaponry	instrumentality	artifact	hardware
collection	group	abstraction	galaxy
kind	category	concept	type
chamber	enclosure	area	furnace
capture	felony	crime	kidnapping
supplier	businessperson	capitalist	distributor
lipid	macromolecule	molecule	oil
man	adult	person	stud
building	structure	artifact	hotel
changeableness	quality	attribute	mutability
globule	ball	sphere	bubble
carnivore	placental	mammal	feline
container	instrumentality	artifact	dish
backsliding	failure	nonaccomplishment	recidivism
machine	device	instrumentality	computer
instrumentality	artifact	whole	container
representation	creation	artifact	pieta
waste	activity	act	boondoggle
chemical	material	substance	restrainer
poultry	bird	meat	chicken
art	creation	artifact	gem
quality	attribute	abstraction	nature
migration	motion	change	immigration
vegetation	collection	group	forest
flower	angiosperm	spermatophyte	sunflower
travel	motion	change	journey
jewelry	adornment	decoration	necklace
trouser	garment	clothing	pajama
pleasure	feeling	state	enjoyment
feeling	state	attribute	apathy
care	work	activity	treatment
defender	preserver	person	guard
motorboat	boat	vessel	launch
contradictoriness	opposition	relation	incompatibility
liquor	alcohol	beverage	vodka
opinion	belief	content	judgment
executive	administrator	head	minister
information	message	communication	news
design	arrangement	structure	layout
sound	happening	event	peal
line	artifact	whole	cord
text	matter	writing	lyric
bias	partiality	inclination	racism
component	part	object	ingredient
fluid	substance	matter	liquid
cushion	padding	artifact	pillow
book	publication	work	booklet
performance	accomplishment	action	overachievement
nucleon	baryon	fermion	proton
clothing	consumer_goods	commodity	footwear
performer	entertainer	person	magician
situation	state	attribute	environment
fog	aerosol	cloud	mist
sum	assets	possession	coverage
dish	nutriment	food	chili
building	structure	artifact	theater
fabric	artifact	whole	linen
thoroughfare	road	way	street
steering	control	activity	driving
jewelry	adornment	decoration	jewel
procedure	activity	act	calculation
physicist	scientist	person	astronomer
product	creation	artifact	movie
forest	vegetation	collection	grove
discussion	communication	act	dilation
despair	feeling	state	discouragement
bird	vertebrate	chordate	parrot
parent	genitor	progenitor	mother
apparition	illusion	appearance	ghost
food	solid	matter	seafood
uncreativeness	inability	cognition	unoriginality
enclosure	area	structure	dock
condition	state	attribute	danger
homicide	killing	termination	murder
path	line	location	direction
caterpillar	larva	animal	bollworm
