weightlift	bodybuilding	exercise	clean_and_jerk
salt	compound	chemical	sodium_carboxymethyl_cellulose
trespass	tort	wrongdoing	trespass_viet_armis
coordinate_system	arrangement	structure	inertial_reference_frame
apparition	illusion	appearance	unidentified_flying_object
electronic_deception	electronic_countermeasures	electronic_warfare	manipulative_electronic_deception
position	attitude	cognition	point_of_view
breach_of_contract	breach	failure	breach_of_warranty
whiptail	teiid_lizard	lizard	plateau_striped_whiptail
paramyxovirus	myxovirus	animal_virus	respiratory_syncytial_virus
induction	introduction	beginning	induction_of_labor
indigo_snake	colubrid_snake	snake	eastern_indigo_snake
herpes_zoster	herpes	animal_virus	herpes_varicella_zoster
snapping_turtle	turtle	chelonian	common_snapping_turtle
crayfish	decapod_crustacean	crustacean	Old_World_crayfish
microscopy	research	investigation	dark_ground_illumination
grebe	podicipitiform_seabird	seabird	great_crested_grebe
operation	medical_procedure	procedure	dilation_and_curettage
bottlenose_dolphin	dolphin	toothed_whale	Atlantic_bottlenose_dolphin
device	instrumentality	artifact	source_of_illumination
rehabilitation_program	program	system	vocational_rehabilitation_program
reaction	bodily_process	organic_process	galvanic_skin_response
arenavirus	animal_virus	virus	lymphocytic_choriomeningitis_virus
desertion	withdrawal	departure	absence_without_leave
reinforcing_stimulus	stimulation	information	positive_reinforcing_stimulus
air_defense	defense	military_action	active_air_defense
constructive_fraud	fraud	crime	fraud_in_law
pension_plan	plan	idea	individual_retirement_account
reverse_hang	hang	gymnastic_exercise	piked_reverse_hang
defense	military_action	group_action	biological_warfare_defense
garter_snake	colubrid_snake	snake	Western_ribbon_snake
cabbage_butterfly	pierid	butterfly	southern_cabbage_butterfly
gymnastic_exercise	exercise	effort	double_leg_circle
reconnaissance	intelligence	information_gathering	reconnaissance_in_force
squeeze_play	baseball_play	maneuver	safety_squeeze_play
logistic_support	support	activity	integrated_logistic_support
feat	accomplishment	action	tour_de_force
bench_press	weightlift	bodybuilding	incline_bench_press
reproductive_cloning	cloning	biological_research	human_reproductive_cloning
eisteddfod	festival	celebration	Royal_National_Eisteddfod
thinking	higher_cognitive_process	process	train_of_thought
board_game	parlor_game	game	snakes_and_ladders
tent_caterpillar	caterpillar	larva	forest_tent_caterpillar
eye_operation	operation	medical_procedure	laser_trabecular_surgery
secretaryship	position	occupation	Secretary_of_the_Interior
show	entertainment	diversion	Wild_West_Show
pyralid	moth	lepidopterous_insect	Mediterranean_flour_moth
scientific_theory	theory	explanation	steady_state_theory
projective_test	personality_test	test	Thematic_Apperception_Test
microwave_spectroscopy	spectroscopy	chemical_analysis	electron_spin_resonance
